﻿计算机信息	0
网络	1
联网	2
管理	3
暂行规定	4
1997	5
修正Interim	6
Regulatiosn	7
of	8
the	9
People	10
s	11
Republic	12
China	13
on	14
Management	15
International	16
networking	17
Computer	18
Information	19
97	20
Amendment本法	21
变迁	22
史计算机信息	23
19960201修改	24
计算机信息	25
19970520计算机信息	26
修正	27
暂行规定年	28
月	29
日	30
中华人民共和国国务院	31
令	32
号	33
发布	34
年	35
修改	36
修正计算机信息	37
保障	38
交流	39
健康	40
发展	41
制定境内	42
办理用语	43
含义计算机信息	44
简称	45
指	46
境内	47
信息	48
国际交流	49
外国	50
相联接互联网络	51
互联	52
单位	53
负责	54
互联网络	55
运行	56
单位接入	57
接入	58
单位联网	59
实行	60
统筹规划	61
统一标准	62
分级管理	63
原则信息化	64
工作	65
领导小组	66
协调	67
解决	68
中领导小组	69
办公室	70
制定	71
办法	72
出入口	73
信道	74
提供	75
用户	76
权利	77
义务	78
责任	79
检查	80
监督计算机信息	81
邮电部	82
公用	83
电信网	84
信道单位	85
自行	86
建立	87
联网建立	88
调整	89
电子	90
工业部	91
国家教育委员会	92
中国科学院	93
管理新建	94
报经	95
批准接入	96
联网接入	97
拟	98
经营	99
活动	100
有权	101
受理	102
申请	103
主管部门	104
主管	105
领取	106
许可证	107
未	108
业务接入	109
非	110
审批	111
未经	112
批准	113
联网申请	114
办理	115
手续	116
时	117
性质	118
主机	119
地址	120
资料联网	121
格式	122
统一	123
制定联网	124
具备	125
条件依法	126
设立	127
企业法人	128
事业	129
法人计算机信息	130
装备	131
技术人员	132
管理人员健全	133
保密	134
管理制度	135
技术	136
保护措施符合	137
条件接入	138
本条	139
前款	140
条件	141
外	142
长期	143
服务	144
能力联网	145
情况	146
发生变化	147
符合	148
发证	149
机构	150
予以	151
吊销	152
资格	153
取消法人	154
组织	155
统称	156
计算机	157
联网前款	158
征得	159
同意	160
登记手续出入口	161
网络管理	162
中心	163
国家有关	164
对本	165
做好	166
信息安全	167
管理工作	168
确保	169
服务互联	170
技术培训	171
教育	172
工作联网	173
业务	174
遵守	175
行政	176
法规	177
严格执行	178
保密制度	179
利用	180
危害	181
泄露	182
秘密	183
违法犯罪	184
制作	185
查阅	186
复制	187
传播	188
妨碍	189
社会治安	190
淫秽	191
色情	192
信息违反	193
公安机关	194
责令	195
停止	196
给予	197
警告	198
并处	199
15000	200
元	201
罚款	202
违法	203
所得	204
没收	205
所得违反	206
触犯	207
处罚	208
构成犯罪	209
依法追究	210
刑事责任台湾	211
香港	212
澳门地区	213
参照	214
执行发布	215
之日起	216
施行www	217
专业	218
知识	219
软件	220
领域	221
各类	222
解决方案	223
全国	224
数据	225
内容	226
权威	227
功能	228
最强	229
更新	230
最快	231
最多	232
综合	233
平台	234
﻿	235
4.248330中国保监会	236
保险公司	237
再保险	238
关联	239
交易	240
披露	241
通知中国保监会	242
通知保监发	243
2015	244
44	245
号保险公司保险公司	246
监管	247
防范	248
经营风险	249
现	250
事项	251
通知保险公司	252
企业	253
合规	254
诚信	255
公允	256
原则保险公司	257
内部	258
风险	259
控制	260
相关	261
统计	262
工作保险公司	263
每季度	264
结束	265
30	266
日内	267
当年	268
累计	269
至该	270
季度	271
统计表	272
比例	273
详见	274
附件	275
保监会	276
文件传输	277
系统	278
正式	279
公文	280
报送	281
财产保险	282
监管部通知	283
实施	284
中国保监会	285
外资	286
通知	287
保监发	288
2014	289
19	290
启用	291
登记	292
保监厅	293
函	294
2010	295
579	296
废止附件	297
再保险保险公司	298
再保险中国保监会2015	299
17	300
日附件保险公司	301
再保险报表	302
名称	303
地区年	304
万元险种	305
合约	306
分出	307
临分	308
分入	309
业务分出	310
保费	311
摊回	312
分保	313
费用	314
赔款	315
退保	316
金	317
满期	318
给付	319
未决	320
准备金	321
到期	322
寿险	323
健康险	324
分	325
收入	326
支出	327
提取	328
准备金财产险	329
财产保险家庭	330
财产保险工程责任保险保证信用农业货运	331
险船舶	332
险机动车辆	333
险交强险航空	334
险	335
航天	336
险石油	337
险核人身险	338
寿险年	339
金意外	340
伤害	341
险健康险一年期	342
内及	343
一年期一年期合计附件保险公司	344
地区	345
方式	346
一年期一年期合计填表采用	347
财务	348
年度	349
填写	350
上表预约	351
计入	352
项	353
统计人身险	354
摊	355
回	356
死伤	357
医疗	358
项专业	359
转	360
险种	361
划分	362
可作	363
上表	364
情况非	365
为险位	366
超赔	367
事故	368
险位	369
赔付率	370
方式巨灾超	371
赔	372
某一	373
财产险	374
人身险	375
统计www	376
4.249151中国外汇交易中心	377
指南中国外汇交易中心	378
指南2015	379
年制度	380
备案资产	381
管理商业银行	382
证券公司	383
基金	384
公司	385
资产	386
信托公司	387
担任	388
金融机构	389
银行	390
间	391
同业	392
拆借	393
债券	394
流通	395
规则	396
列	397
前	398
定价	399
内控	400
机制	401
审核	402
流程	403
所涉	404
非法人	405
产品	406
合同条款	407
该类	408
约定	409
部门	410
负责人	411
联系人	412
专用	413
邮箱	414
已有	415
补充	416
制度	417
提交	418
交易中心金融机构金融机构	419
类	420
市场	421
成员	422
交易中心发行人发行人	423
第二十四条	424
报备	425
风	426
度	427
包括	428
风控	429
发行	430
防火墙	431
审计	432
交易中心	433
邮箱制度	434
文本	435
加盖	436
公章特定	437
披露月度	438
披露交易	439
人应	440
每月	441
五个	442
工作日	443
用于	444
全	445
所指	446
纸质	447
版	448
授权	449
公章	450
电子版	451
尽力	452
保证	453
真实性	454
准确性	455
完整性	456
参与方	457
标的	458
交易价格	459
规模	460
发生	461
前述	462
无需	463
披露交易中心	464
无误	465
发现	466
真实	467
完整	468
准确	469
反馈	470
建议	471
发布交易	472
披露单笔	473
回购	474
金额	475
当日	476
对手	477
期限	478
合并	479
计算	480
超过	481
10	482
亿元	483
单笔	484
达成	485
工作日内	486
书面形式	487
报告	488
原因	489
影响	490
公章发行人	491
披露发行人	492
质押	493
式	494
逆	495
应于	496
次	497
拟向	498
品种	499
分类	500
加权	501
平均价格	502
披露一笔	503
中	504
包含	505
单独	506
加总	507
交易量	508
价格	509
券面	510
总额	511
折算	512
比例集中度	513
披露公开	514
单个	515
持有人	516
